english,english_priority,spanish,spanish_priority,portuguese,portuguese_priority,german,german_priority,danish,danish_priority,dutch,dutch_priority,difficulty
insect,5,insecto,5,inseto,5,Insekt,5,insekt,5,insect,5,4
caught,5,capturado,5,apanhados,5,gefangen,5,fanget,5,gevangen,5,4
period,5,período,5,período,5,Zeit,5,periode,5,periode,5,4
indicate,5,indicar,5,indicar,5,zeigen,5,angive,5,aangeven,5,4
radio,5,radio,5,rádio,5,Radio,5,radio,5,radio,5,4
spoke,5,rayo,5,raio,5,Speiche,5,talte,5,spaak,5,4
atom,5,átomo,5,átomo,5,Atom,5,atom,5,atoom,5,4
human,5,humano,5,humano,5,Mensch,5,menneskelig,5,menselijk,5,4
history,5,historia,5,história,5,Geschichte,5,historie,5,geschiedenis,5,4
effect,5,efecto,5,efeito,5,Wirkung,5,effekt,5,effect,5,4
electric,5,eléctrico,5,elétrico,5,elektrisch,5,elektrisk,5,elektrisch,5,4
expect,5,esperar,5,esperar,5,erwarten,5,forvente,5,verwachten,5,4
crop,5,cultivo,5,colheita,5,Ernte,5,afgrøde,5,gewas,5,4
modern,5,moderno,5,moderno,5,modern,5,moderne,5,modern,5,4
element,5,elemento,5,elemento,5,Element,5,element,5,element,5,4
hit,5,golpear,5,acertar,5,schlagen,5,hit,5,raken,5,4
student,5,estudiante,5,estudante,5,Schüler,5,studerende,5,student,5,4
corner,5,esquina,5,canto,5,Ecke,5,hjørne,5,hoek,5,5
party,5,partido,5,festa,5,Partei,5,fest,5,partij,5,5
supply,5,suministrar,5,fornecer,5,liefern,5,forsyne,5,leveren,5,5
bone,5,hueso,5,osso,5,Knochen,5,knogle,5,bot,5,5
rail,5,rail,5,trilho,5,Schiene,5,jernbane,5,rail,5,5
imagine,5,imaginar,5,imaginar,5,vorstellen,5,forestille,5,zich voorstellen,5,5
provide,5,proporcionar,5,fornecer,5,bieten,5,give,5,zorgen voor,5,5
agree,5,estar de acuerdo,5,concordar,5,zustimmen,5,enige,5,het eens zijn,5,5
thus,5,así,5,assim,5,so,5,således,5,dus,5,5
capital,5,capital,5,capital,5,Hauptstadt,5,kapital,5,hoofdstad,5,5
won't,5,no lo hará,5,não vai,5,wird nicht,5,vil ikke,5,zal niet,5,5
chair,5,silla,5,cadeira,5,Stuhl,5,stol,5,stoel,5,5
danger,5,peligro,5,perigo,5,Gefahr,5,fare,5,gevaar,5,5
fruit,5,fruta,5,fruto,5,Obst,5,frugt,5,fruit,5,5
rich,5,rico,5,rico,5,reich,5,rig,5,rijk,5,5
thick,5,espesor,5,espesso,5,dick,5,tyk,5,dik,5,5
soldier,5,soldado,5,soldado,5,Soldat,5,soldat,5,soldaat,5,5
process,5,proceso,5,processo,5,Prozess,5,proces,5,procede,5,5
operate,5,funcionar,5,operar,5,betreiben,5,betjene,5,werken,5,5
guess,5,adivinar,5,adivinhar,5,erraten,5,gætte,5,raden,5,5
necessary,5,necesario,5,necessário,5,notwendig,5,nødvendig,5,noodzakelijk,5,5
sharp,5,agudo,5,forte,5,scharf,5,skarp,5,scherp,5,5
wing,5,ala,5,asa,5,Flügel,5,fløj,5,vleugel,5,5
create,5,crear,5,criar,5,schaffen,5,skabe,5,creëren,5,5
neighbor,5,vecino,5,vizinho,5,Nachbar,5,nabo,5,buur,5,5
wash,5,lavar,5,lavar,5,waschen,5,vaske,5,wassen,5,5
bat,5,bat,5,bat,5,Fledermaus,5,bat,5,bat,5,5
rather,5,más bien,5,mais,5,eher,5,snarere,5,eerder,5,5
crowd,5,multitud,5,multidão,5,Menschenmenge,5,crowd,5,menigte,5,5
corn,5,maíz,5,milho,5,Mais,5,majs,5,maïs,5,5
compare,5,comparar,5,comparar,5,vergleichen,5,sammenligne,5,vergelijken,5,5
poem,5,poema,5,poema,5,Gedicht,5,digt,5,gedicht,5,5
string,5,cadena,5,corda,5,Schnur,5,streng,5,snaar,5,5
bell,5,campana,5,sino,5,Glocke,5,klokke,5,bel,5,5
depend,5,depender,5,depender,5,abhängen,5,afhænge,5,afhankelijk zijn,5,5
meat,5,carne,5,carne,5,Fleisch,5,kød,5,vlees,5,5
rub,5,frotar,5,esfregar,5,reiben,5,gnide,5,wrijven,5,5
tube,5,tubo,5,tubo,5,Rohr,5,rør,5,buis,5,5
famous,5,famoso,5,famoso,5,berühmt,5,berømt,5,beroemd,5,5
dollar,5,dólar,5,dólar,5,Dollar,5,dollar,5,dollar,5,5
stream,5,corriente,5,córrego,5,Strom,5,stream,5,stroom,5,5
fear,5,miedo,5,medo,5,Angst,5,frygt,5,angst,5,5
sight,5,vista,5,vista,5,Sicht,5,syn,5,zicht,5,5
thin,5,delgado,5,fino,5,dünn,5,tynd,5,dun,5,5
triangle,5,triángulo,5,triângulo,5,Dreieck,5,trekant,5,driehoek,5,5
planet,5,planeta,5,planeta,5,Planet,5,planet,5,planeet,5,5
hurry,5,prisa,5,pressa,5,Eile,5,skynde,5,haast,5,5
chief,5,jefe,5,chefe,5,Chef,5,chef,5,chef,5,5
colony,5,colonia,5,colônia,5,Kolonie,5,koloni,5,kolonie,5,5
clock,5,reloj,5,relógio,5,Uhr,5,ur,5,klok,5,5
mine,5,mina,5,mina,5,Mine,5,mine,5,de mijne,5,5
tie,5,atar,5,amarrar,5,binden,5,slips,5,binden,5,5
enter,5,entrar,5,entrar,5,eingeben,5,indtaste,5,invoeren,5,5
major,5,mayor,5,principal,5,Haupt-,5,større,5,groot,5,5
fresh,5,fresco,5,fresco,5,frisch,5,frisk,5,vers,5,5
search,5,buscar,5,pesquisar,5,Suche,5,søg,5,zoeken,5,5
send,5,enviar,5,enviar,5,senden,5,Send,5,sturen,5,5
yellow,5,amarillo,5,amarelo,5,gelb,5,gul,5,geel,5,5
gun,5,pistola,5,pistola,5,Pistole,5,gun,5,geweer,5,5
allow,5,permitir,5,permitir,5,erlauben,5,tillade,5,toelaten,5,5
print,5,imprimir,5,imprimir,5,drucken,5,udskrive,5,afdrukken,5,5
dead,5,muerto,5,morto,5,tot,5,død,5,dood,5,5
spot,5,lugar,5,local,5,Stelle,5,spot,5,plek,5,5
desert,5,desierto,5,deserto,5,Wüste,5,ørken,5,woestijn,5,5
suit,5,traje,5,terno,5,Anzug,5,dragt,5,pak,5,5
current,5,corriente,5,atual,5,Strom,5,strøm,5,stroom,5,5
lift,5,levantar,5,levantar,5,heben,5,lift,5,tillen,5,5
rose,5,rosa,5,rosa,5,Rose,5,steg,5,roos,5,5
continue,5,continuar,5,continuar,5,fortsetzen,5,fortsætte,5,voortzetten,5,5
block,5,bloquear,5,bloquear,5,blockieren,5,blokere,5,blokkeren,5,5
chart,5,trazar,5,traçar,5,Diagramm,5,kortlægge,5,in kaart te brengen,5,5
hat,5,sombrero,5,chapéu,5,Hut,5,hat,5,hoed,5,5
sell,5,vender,5,vender,5,verkaufen,5,sælge,5,verkopen,5,5
success,5,éxito,5,sucesso,5,Erfolg,5,succes,5,succes,5,5
company,5,empresa,5,companhia,5,Firma,5,selskab,5,vennootschap,5,5
subtract,5,sustraer,5,subtrair,5,subtrahieren,5,subtrahere,5,aftrekken,5,5
event,5,evento,5,evento,5,Veranstaltung,5,begivenhed,5,evenement,5,5
particular,5,particular,5,particular,5,besondere,5,særlig,5,bijzonder,5,5
deal,5,negociar,5,tratar,5,Deal,5,behandle,5,handelen,5,5
swim,5,nadar,5,nadar,5,schwimmen,5,svømme,5,zwemmen,5,5
term,5,plazo,5,prazo,5,Begriff,5,sigt,5,termijn,5,5
opposite,5,opuesto,5,oposto,5,gegenüber,5,modsat,5,tegenover,5,5
wife,5,esposa,5,esposa,5,Frau,5,hustru,5,vrouw,5,5
shoe,5,zapato,5,sapato,5,Schuh,5,sko,5,schoen,5,5
shoulder,5,hombro,5,ombro,5,Schulter,5,skulder,5,schouder,5,5
spread,5,difundir,5,espalhar,5,verbreiten,5,sprede,5,verspreiden,5,5
arrange,5,organizar,5,organizar,5,arrangieren,5,arrangere,5,regelen,5,5
camp,5,campamento,5,acampamento,5,Lager,5,camp,5,kamp,5,5
invent,5,inventar,5,inventar,5,erfinden,5,opfinde,5,verzinnen,5,5
cotton,5,algodón,5,algodão,5,Baumwolle,5,bomuld,5,katoen,5,5
born,5,nacido,5,nascido,5,geboren,5,født,5,geboren,5,5
determine,5,determinar,5,determinar,5,bestimmen,5,bestemme,5,bepalen,5,5
quart,5,cuarto de galón,5,quarto,5,Quart,5,quart,5,pot,5,5
truck,5,camión,5,caminhão,5,LKW,5,lastbil,5,vrachtwagen,5,5
noise,5,ruido,5,ruído,5,Lärm,5,støj,5,geluid,5,5
level,5,nivel,5,nível,5,Ebene,5,niveau,5,niveau,5,5
chance,5,oportunidad,5,chance,5,Chance,5,chance,5,kans,5,5
gather,5,reunir,5,reunir,5,sammeln,5,samle,5,verzamelen,5,5
shop,5,compras,5,compras,5,Shop,5,shop,5,winkelen,5,5
stretch,5,estirar,5,esticar,5,strecken,5,strække,5,rekken,5,5
throw,5,lanzar,5,jogar,5,werfen,5,kaste,5,gooien,5,5
shine,5,brillar,5,brilhar,5,leuchten,5,skinne,5,schijnen,5,5
property,5,propiedad,5,propriedade,5,Eigentum,5,ejendom,5,eigendom,5,5
column,5,columna,5,coluna,5,Spalte,5,kolonne,5,kolom,5,5
molecule,5,molécula,5,molécula,5,Molekül,5,molekyle,5,molecuul,5,5
select,5,seleccionar,5,selecionar,5,wählen,5,vælg,5,kiezen,5,5
wrong,5,mal,5,errado,5,falsch,5,forkert,5,verkeerd,5,5
gray,5,gris,5,cinza,5,grau,5,grå,5,grijs,5,5
repeat,5,repetir,5,repetir,5,wiederholen,5,gentage,5,herhalen,5,5
require,5,exigir,5,exigir,5,erfordern,5,kræve,5,vereisen,5,5
broad,5,ancho,5,amplo,5,breit,5,bred,5,breed,5,5
prepare,5,preparar,5,preparar,5,vorbereiten,5,forberede,5,bereiden,5,5
salt,5,sal,5,sal,5,Salz,5,salt,5,zout,5,5
nose,5,nariz,5,nariz,5,Nase,5,næse,5,neus,5,5
plural,5,plural,5,plural,5,Plural,5,pluralis,5,meervoud,5,5
anger,5,ira,5,raiva,5,Zorn,5,vrede,5,boosheid,5,5
claim,5,reclamar,5,reivindicar,5,behaupten,5,krav,5,beweren,5,5
continent,5,continente,5,continente,5,Kontinent,5,kontinent,5,continent,5,5
oxygen,5,oxígeno,5,oxigênio,5,Sauerstoff,5,ilt,5,zuurstof,5,5
sugar,5,azúcar,5,açúcar,5,Zucker,5,sukker,5,suiker,5,5
death,5,muerte,5,morte,5,Tod,5,død,5,dood,5,5
pretty,5,bastante,5,bastante,5,ziemlich,5,pretty,5,vrij,5,5
skill,5,habilidad,5,habilidade,5,Geschicklichkeit,5,dygtighed,5,bekwaamheid,5,5
women,5,mujeres,5,mulheres,5,Frauen,5,kvinder,5,vrouwen,5,5
season,5,temporada,5,temporada,5,Saison,5,årstid,5,seizoen,5,5
solution,5,solución,5,solução,5,Lösung,5,opløsning,5,oplossing,5,5
magnet,5,imán,5,ímã,5,Magnet,5,magnet,5,magneet,5,5
silver,5,plata,5,prata,5,Silber,5,sølv,5,zilver,5,5
thank,5,agradecer,5,agradecer,5,danken,5,tak,5,bedanken,5,5
branch,5,rama,5,ramo,5,Zweig,5,gren,5,tak,5,5
match,5,partido,5,combinar,5,entsprechen,5,match,5,wedstrijd,5,5
suffix,5,sufijo,5,sufixo,5,Suffix,5,endelse,5,achtervoegsel,5,5
especially,5,especialmente,5,especialmente,5,insbesondere,5,især,5,vooral,5,5
fig,5,higo,5,figo,5,Feige,5,figen,5,vijg,5,5
afraid,5,asustado,5,com medo,5,ängstlich,5,bange,5,bang,5,5
huge,5,enorme,5,enorme,5,riesig,5,enorm,5,reusachtig,5,5
sister,5,hermana,5,irmã,5,Schwester,5,søster,5,zus,5,5
steel,5,acero,5,aço,5,Stahl,5,stål,5,staal,5,5
discuss,5,discutir,5,discutir,5,diskutieren,5,diskutere,5,bespreken,5,5
forward,5,adelante,5,para a frente,5,vorwärts,5,fremad,5,vooruit,5,5
similar,5,similar,5,semelhante,5,ähnlich,5,lignende,5,gelijk,5,5
guide,5,orientar,5,orientar,5,leiten,5,vejlede,5,begeleiden,5,5
experience,5,experiencia,5,experiência,5,Erfahrung,5,erfaring,5,ervaring,5,5
score,5,puntuación,5,contagem,5,Partitur,5,score,5,partituur,5,5
apple,5,manzana,5,maçã,5,Apfel,5,æble,5,appel,5,5
bought,5,compraron,5,comprou,5,gekauft,5,købte,5,gekocht,5,5
led,5,llevó,5,levou,5,führten,5,førte,5,geleid,5,5
pitch,5,tono,5,passo,5,Tonhöhe,5,tonehøjde,5,toonhoogte,5,5
coat,5,abrigo,5,casaco,5,Mantel,5,frakke,5,vacht,5,5
mass,5,masa,5,massa,5,Masse,5,masse,5,massa,5,5
card,5,tarjeta,5,cartão,5,Karte,5,kort,5,kaart,5,5
band,5,banda,5,banda,5,Band,5,band,5,band,5,5
rope,5,cuerda,5,corda,5,Seil,5,reb,5,touw,5,5
slip,5,deslizarse,5,deslizar,5,rutschen,5,glide,5,glijden,5,5
win,5,ganar,5,ganhar,5,gewinnen,5,vinde,5,winnen,5,5
dream,5,sueño,5,sonho,5,Traum,5,drøm,5,droom,5,5
evening,5,tarde,5,noite,5,Abend,5,aften,5,avond,5,5
condition,5,condición,5,condição,5,Bedingung,5,betingelse,5,voorwaarde,5,5
feed,5,alimentar,5,alimentar,5,füttern,5,fodre,5,voeden,5,5
tool,5,herramienta,5,ferramenta,5,Werkzeug,5,værktøj,5,gereedschap,5,5
total,5,total,5,total,5,gesamt,5,total,5,totaal,5,5
basic,5,básico,5,básico,5,Grund-,5,basic,5,basis-,5,5
smell,5,olor,5,cheiro,5,Geruch,5,lugt,5,geur,5,5
valley,5,valle,5,vale,5,Tal,5,dal,5,dal,5,5
nor,5,ni,5,nem,5,noch,5,heller ikke,5,noch,5,5
double,5,doble,5,dobrar,5,verdoppeln,5,dobbelt,5,verdubbelen,5,5
seat,5,asiento,5,assento,5,Sitz,5,sæde,5,zitting,5,5
arrive,5,llegar,5,chegar,5,ankommen,5,ankomme,5,aankomen,5,5
master,5,maestro,5,mestre,5,Master,5,mester,5,meester,5,5
track,5,rastrear,5,seguir,5,verfolgen,5,spor,5,volgen,5,5
parent,5,padre,5,pai ou mãe,5,Elternteil,5,forælder,5,ouder,5,5
shore,5,apuntalar,5,costa,5,Ufer,5,shore,5,kust,5,5
division,5,división,5,divisão,5,Teilung,5,division,5,divisie,5,5
sheet,5,hoja,5,folha,5,Blatt,5,ark,5,vel,5,5
substance,5,sustancia,5,substância,5,Substanz,5,stof,5,stof,5,5
favor,5,favorecer,5,favorecer,5,begünstigen,5,favorisere,5,voorstander,5,5
connect,5,conectar,5,conectar,5,verbinden,5,forbinde,5,aansluiten,5,5
post,5,enviar,5,postar,5,Post,5,indlæg,5,post,5,5
spend,5,pasar,5,gastar,5,verbringen,5,tilbringe,5,besteden,5,5
chord,5,acorde,5,acorde,5,Akkord,5,akkord,5,akkoord,5,5
fat,5,grasa,5,gordura,5,Fett,5,fedt,5,vet,5,5
glad,5,contento,5,feliz,5,froh,5,glad,5,blij,5,5
original,5,original,5,original,5,Original,5,original,5,origineel,5,5
share,5,participación,5,ação,5,Aktie,5,aksjer,5,aandeel,5,5
station,5,estación,5,estação,5,Station,5,station,5,station,5,5
dad,5,papá,5,pai,5,Papa,5,dad,5,pa,5,5
bread,5,pan,5,pão,5,Brot,5,brød,5,brood,5,5
charge,5,cargo,5,carga,5,Ladung,5,ladning,5,lading,5,5
proper,5,correcto,5,adequado,5,richtig,5,korrekt,5,behoorlijk,5,5
bar,5,bar,5,bar,5,Bar,5,Bar,5,bar,5,5
offer,5,ofrecer,5,oferecer,5,bieten,5,tilbyde,5,bieden,5,5
segment,5,segmento,5,segmento,5,Segment,5,segment,5,segment,5,5
slave,5,esclavo,5,escravo,5,Sklave,5,slave,5,slaaf,5,5
duck,5,pato,5,pato,5,Ente,5,ænder,5,eend,5,5
instant,5,instantáneo,5,instante,5,Augenblick,5,øjeblikkelig,5,moment,5,5
market,5,mercado,5,mercado,5,Markt,5,marked,5,markt,5,5
degree,5,grado,5,grau,5,Grad,5,grad,5,graad,5,5
populate,5,poblar,5,povoar,5,bevölkern,5,befolke,5,bevolken,5,5
chick,5,pollito,5,pintinho,5,Küken,5,chick,5,kuiken,5,5
dear,5,querido,5,caro,5,liebe,5,kære,5,lieve,5,5
enemy,5,enemigo,5,inimigo,5,Feind,5,fjende,5,vijand,5,5
reply,5,responder,5,responder,5,antworten,5,svar,5,antwoorden,5,5
drink,5,beber,5,beber,5,trinken,5,drikke,5,drinken,5,5
occur,5,ocurrir,5,ocorrer,5,auftreten,5,forekomme,5,zich voordoen,5,5
support,5,apoyar,5,apoiar,5,unterstützen,5,støtte,5,ondersteunen,5,5
speech,5,discurso,5,discurso,5,Rede,5,tale,5,spraak,5,5
nature,5,naturaleza,5,natureza,5,Natur,5,natur,5,natuur,5,5
range,5,alcance,5,alcance,5,Reichweite,5,rækkevidde,5,reeks,5,5
steam,5,vapor,5,vapor,5,Dampf,5,damp,5,stoom,5,5
motion,5,movimiento,5,movimento,5,Bewegung,5,bevægelse,5,beweging,5,5
path,5,camino,5,caminho,5,Weg,5,sti,5,pad,5,5
liquid,5,líquido,5,líquido,5,Flüssigkeit,5,væske,5,vloeistof,5,5
log,5,log,5,logon,5,protokollieren,5,log,5,logboek,5,5
meant,5,significó,5,significava,5,"bedeutete,",5,betød,5,betekende,5,5
quotient,5,cociente,5,quociente,5,Quotient,5,kvotient,5,quotiënt,5,5
teeth,5,dientes,5,dentes,5,Gebiss,5,tænder,5,gebit,5,5
shell,5,concha,5,concha,5,Schale,5,shell,5,schelp,5,5
neck,5,cuello,5,pescoço,5,Hals,5,hals,5,nek,5,5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
